Date;2015;2016;2017;2018;2019;2020;2021
05.06.2020;15;11;16;13;14;14;
06.06.2020;10;14;13;15;8;14;
07.06.2020;4;21;17;12;13;9;
08.06.2020;10;15;12;9;19;20;
09.06.2020;15;11;13;13;18;11;
10.06.2020;18;9;9;12;14;10;
11.06.2020;13;14;6;11;13;7;
12.06.2020;16;16;20;18;14;24;
13.06.2020;15;16;10;17;17;13;
14.06.2020;14;14;10;8;14;13;
15.06.2020;10;13;15;14;13;22;
16.06.2020;13;14;22;10;14;10;
17.06.2020;12;7;12;7;22;14;
18.06.2020;14;15;9;13;15;8;
19.06.2020;13;12;20;18;19;8;
20.06.2020;16;7;9;10;13;14;
21.06.2020;9;16;20;15;11;17;
22.06.2020;14;14;18;13;16;9;
23.06.2020;15;15;11;8;18;14;
24.06.2020;12;11;7;20;12;10;
25.06.2020;13;10;11;16;18;22;
26.06.2020;12;19;10;15;14;12;
27.06.2020;10;9;10;11;21;13;
28.06.2020;9;12;12;20;13;9;
29.06.2020;12;12;11;18;8;16;
30.06.2020;9;15;20;12;16;12;
01.07.2020;13;8;12;16;12;13;
02.07.2020;20;19;14;15;12;11;
03.07.2020;11;12;24;10;15;13;
04.07.2020;20;11;13;12;13;13;
05.07.2020;15;13;16;14;16;10;
06.07.2020;15;17;17;11;17;14;
07.07.2020;12;10;12;8;12;16;
08.07.2020;16;18;18;17;13;23;
09.07.2020;18;14;11;11;14;20;
10.07.2020;16;15;12;11;12;16;
11.07.2020;10;13;13;24;12;10;
12.07.2020;12;14;14;21;5;10;
13.07.2020;14;12;21;23;7;7;
14.07.2020;6;9;18;13;14;14;
15.07.2020;15;13;16;14;15;11;
16.07.2020;18;10;7;13;10;12;
17.07.2020;6;12;14;17;20;17;
18.07.2020;11;17;15;16;10;9;
19.07.2020;8;20;13;9;6;10;
20.07.2020;18;16;13;10;18;17;
21.07.2020;6;10;14;13;13;20;
22.07.2020;12;10;10;14;22;16;
23.07.2020;10;14;7;16;16;17;
24.07.2020;18;13;18;11;12;11;
25.07.2020;14;16;10;14;13;13;
26.07.2020;10;12;10;18;13;11;
27.07.2020;16;8;11;25;9;18;
28.07.2020;18;12;12;11;9;22;
29.07.2020;12;14;17;14;19;19;
30.07.2020;14;12;11;15;18;11;
31.07.2020;14;9;7;15;17;15;
01.08.2020;14;10;24;10;20;19;
02.08.2020;16;14;16;19;12;18;
03.08.2020;17;11;14;17;11;17;
04.08.2020;19;18;18;8;10;15;
05.08.2020;15;17;10;11;19;20;
06.08.2020;17;10;7;10;12;17;
07.08.2020;16;12;18;14;10;18;
08.08.2020;15;17;10;19;18;15;
09.08.2020;11;16;15;15;15;16;
10.08.2020;24;17;13;21;13;28;
11.08.2020;17;7;13;15;8;23;
12.08.2020;19;15;16;12;10;20;
13.08.2020;15;19;12;27;14;23;
14.08.2020;19;7;23;11;17;20;
15.08.2020;10;15;13;23;14;18;
16.08.2020;11;13;15;12;18;21;
17.08.2020;19;15;17;20;13;25;
18.08.2020;17;13;20;17;14;21;
19.08.2020;13;14;12;17;15;21;
20.08.2020;19;18;15;12;23;26;
21.08.2020;19;17;20;13;18;23;
22.08.2020;14;16;21;17;17;19;
23.08.2020;15;13;11;17;14;26;
24.08.2020;16;17;20;9;15;27;
25.08.2020;15;13;14;18;8;16;
26.08.2020;12;18;14;14;17;24;
27.08.2020;16;7;18;23;12;30;
28.08.2020;13;8;13;11;8;24;
29.08.2020;16;11;16;12;23;24;
30.08.2020;5;20;15;15;5;28;
31.08.2020;19;12;11;17;7;25;
01.09.2020;8;9;5;16;12;28;
02.09.2020;9;12;15;10;23;26;
03.09.2020;9;14;16;13;13;34;
04.09.2020;15;15;8;16;10;20;
05.09.2020;6;19;24;13;8;22;
06.09.2020;12;14;17;13;11;26;
07.09.2020;19;7;18;14;13;33;
08.09.2020;10;8;15;8;10;26;
09.09.2020;17;12;16;11;18;22;
10.09.2020;9;11;13;12;9;23;
11.09.2020;11;10;6;13;10;27;
