date;2015;2016;2017;2018;2019;2020;2021
02.06.2020;9;16;13;11;16;20;
03.06.2020;14;14;17;8;17;16;
04.06.2020;10;10;6;13;14;11;
05.06.2020;10;12;12;11;17;13;
06.06.2020;11;15;11;15;16;18;
07.06.2020;16;17;9;9;15;13;
08.06.2020;12;11;11;7;16;17;
09.06.2020;15;14;14;16;17;21;
10.06.2020;11;9;23;15;16;18;
11.06.2020;8;13;10;9;18;13;
12.06.2020;8;7;15;19;13;11;
13.06.2020;10;16;15;11;15;11;
14.06.2020;10;17;8;12;13;19;
15.06.2020;7;8;16;12;12;13;
16.06.2020;20;16;16;12;10;12;
17.06.2020;12;21;9;14;15;23;
18.06.2020;17;14;15;15;12;16;
19.06.2020;9;9;11;12;15;9;
20.06.2020;8;17;10;4;22;12;
21.06.2020;13;10;11;19;13;17;
22.06.2020;14;14;12;22;18;12;
23.06.2020;11;15;14;13;8;15;
24.06.2020;13;12;6;15;8;9;
25.06.2020;8;20;13;15;17;10;
26.06.2020;10;17;8;12;10;19;
27.06.2020;10;13;13;15;24;14;
28.06.2020;16;11;16;8;20;12;
29.06.2020;9;11;15;16;13;13;
30.06.2020;11;13;19;11;12;15;
01.07.2020;8;15;18;10;21;18;
02.07.2020;7;16;13;16;14;19;
03.07.2020;15;19;16;18;8;17;
04.07.2020;8;15;18;17;17;20;
05.07.2020;14;17;17;16;21;14;
06.07.2020;18;12;19;11;11;23;
07.07.2020;20;10;13;10;14;23;
08.07.2020;11;20;18;21;17;27;
09.07.2020;12;15;12;11;15;28;
10.07.2020;15;10;16;14;14;24;
11.07.2020;13;16;21;14;22;17;
12.07.2020;13;13;23;6;18;10;
13.07.2020;8;20;11;13;12;28;
14.07.2020;7;14;12;23;17;17;
15.07.2020;14;16;14;18;8;12;
16.07.2020;19;12;11;16;10;27;
17.07.2020;12;22;10;12;13;19;
18.07.2020;19;18;18;15;12;21;
19.07.2020;11;16;20;12;21;24;
20.07.2020;16;15;16;17;15;28;
21.07.2020;10;17;18;13;15;20;
22.07.2020;16;18;24;12;7;25;
23.07.2020;17;16;13;8;11;22;
24.07.2020;17;11;17;11;17;21;
25.07.2020;17;13;16;19;12;31;
26.07.2020;13;12;23;9;13;37;
27.07.2020;18;12;9;22;6;35;
28.07.2020;15;17;15;20;15;28;
29.07.2020;10;14;19;20;21;28;
30.07.2020;17;14;16;10;14;29;
31.07.2020;14;21;16;18;16;30;
01.08.2020;9;16;6;16;11;23;
02.08.2020;19;16;18;16;11;36;
03.08.2020;22;14;9;18;14;18;
04.08.2020;12;12;15;16;9;28;
05.08.2020;16;18;5;14;11;34;
06.08.2020;10;12;13;16;11;33;
07.08.2020;15;20;11;17;12;24;
08.08.2020;15;10;13;15;14;27;
09.08.2020;17;16;10;13;21;31;
10.08.2020;13;15;9;16;9;27;
11.08.2020;15;15;10;19;13;34;
12.08.2020;9;18;13;12;10;21;
13.08.2020;15;8;13;14;17;34;
14.08.2020;20;11;14;16;10;31;
15.08.2020;7;18;17;15;16;29;
16.08.2020;10;12;13;28;11;45;
17.08.2020;8;16;7;15;11;20;
18.08.2020;13;10;13;23;10;24;
19.08.2020;17;11;10;14;15;40;
20.08.2020;14;11;15;13;15;27;
21.08.2020;15;13;11;12;12;31;
22.08.2020;12;18;15;7;9;36;
23.08.2020;13;17;14;7;13;30;
24.08.2020;13;15;13;11;13;35;
25.08.2020;16;15;12;18;12;31;
26.08.2020;16;17;14;18;10;32;
27.08.2020;18;7;12;14;13;36;
28.08.2020;10;13;7;16;21;34;
29.08.2020;9;14;16;16;13;44;
30.08.2020;13;9;6;11;16;31;
31.08.2020;9;16;12;16;14;37;
01.09.2020;5;11;8;20;14;35;
02.09.2020;12;15;8;12;25;31;
03.09.2020;13;13;9;19;17;51;
04.09.2020;19;12;14;20;20;43;
05.09.2020;11;13;17;22;10;35;
06.09.2020;14;18;16;14;8;36;
07.09.2020;15;11;13;20;9;41;
08.09.2020;10;19;13;12;9;29;
09.09.2020;14;15;9;16;16;43;
10.09.2020;13;17;17;10;12;35;
11.09.2020;14;10;15;12;17;26;
12.09.2020;16;12;15;10;10;24;
13.09.2020;5;16;18;21;9;37;
14.09.2020;13;8;18;12;20;34;
15.09.2020;16;15;21;14;10;34;
16.09.2020;13;18;13;11;21;25;
17.09.2020;10;13;12;13;17;43;
18.09.2020;11;13;7;12;10;21;
19.09.2020;13;15;16;16;12;30;
20.09.2020;16;19;16;10;12;27;
21.09.2020;15;22;21;18;10;21;
22.09.2020;11;12;16;9;6;26;
23.09.2020;13;14;11;7;13;28;
24.09.2020;10;10;10;16;8;26;
25.09.2020;11;12;8;7;8;36;
26.09.2020;10;12;14;11;17;30;
27.09.2020;6;15;10;15;11;24;
28.09.2020;10;14;11;9;14;35;
29.09.2020;18;14;10;17;4;20;
30.09.2020;9;11;16;18;13;22;
01.10.2020;19;13;11;16;12;28;
02.10.2020;11;13;15;7;18;27;
03.10.2020;11;12;19;16;14;29;
04.10.2020;16;16;15;12;12;21;
05.10.2020;13;19;17;16;13;34;
06.10.2020;16;13;19;18;18;19;
07.10.2020;12;16;15;10;8;20;
08.10.2020;15;11;17;11;13;21;
09.10.2020;8;10;16;13;14;19;
10.10.2020;18;12;17;15;12;25;
11.10.2020;7;9;15;10;16;25;
12.10.2020;14;13;15;8;12;25;
13.10.2020;9;16;15;12;11;17;
14.10.2020;15;20;19;11;15;21;
15.10.2020;16;30;16;9;18;14;
16.10.2020;14;17;10;14;14;19;
17.10.2020;4;16;13;8;12;26;
18.10.2020;11;18;15;6;14;25;
19.10.2020;9;12;15;21;16;18;
20.10.2020;11;11;10;8;22;25;
21.10.2020;12;10;13;17;11;19;
22.10.2020;13;17;14;15;16;35;
23.10.2020;7;14;16;14;11;27;
24.10.2020;12;14;10;18;16;18;
25.10.2020;9;14;11;11;17;27;
26.10.2020;10;13;9;17;18;19;
