date;2015;2016;2017;2018;2019;2020;2021
29.06.2020;;;;28;32;30;
30.06.2020;;;;19;28;38;
01.07.2020;;;;23;24;37;
02.07.2020;;;;33;19;39;
03.07.2020;;;;27;21;36;
04.07.2020;;;;29;21;44;
05.07.2020;;;;30;30;48;
06.07.2020;;;;19;21;52;
07.07.2020;;;;18;24;57;
08.07.2020;;;;24;20;33;
09.07.2020;;;;23;19;49;
10.07.2020;;;;30;19;42;
11.07.2020;;;;27;25;48;
12.07.2020;;;;30;40;30;
13.07.2020;;;;23;25;43;
14.07.2020;;;;23;25;33;
15.07.2020;;;;22;17;47;
16.07.2020;;;;26;28;44;
17.07.2020;;;;25;27;43;
18.07.2020;;;;15;28;42;
19.07.2020;;;;19;23;54;
20.07.2020;;;;21;16;46;
21.07.2020;;;;15;19;43;
22.07.2020;;;;24;24;31;
23.07.2020;;;;22;23;40;
24.07.2020;;;;25;33;35;
25.07.2020;;;;24;22;38;
26.07.2020;;;;21;20;45;
27.07.2020;;;;21;18;28;
28.07.2020;;;;21;21;41;
29.07.2020;;;;21;25;44;
30.07.2020;;;;25;27;48;
31.07.2020;;;;19;18;48;
01.08.2020;;;;32;17;50;
02.08.2020;;;;28;16;50;
03.08.2020;;;;20;25;41;
04.08.2020;;;;25;19;48;
05.08.2020;;;;27;21;38;
06.08.2020;;;;26;17;33;
07.08.2020;;;;21;25;41;
08.08.2020;;;;23;20;30;
09.08.2020;;;;23;17;38;
10.08.2020;;;;25;26;41;
11.08.2020;;;;24;32;39;
12.08.2020;;;;17;35;26;
13.08.2020;;;;32;23;29;
14.08.2020;;;;18;26;29;
15.08.2020;;;;19;31;38;
16.08.2020;;;;28;18;36;
17.08.2020;;;;40;25;39;
18.08.2020;;;;26;21;41;
19.08.2020;;;;20;22;44;
20.08.2020;;;;26;25;25;
21.08.2020;;;;29;19;36;
22.08.2020;;;;16;21;39;
23.08.2020;;;;14;25;25;
24.08.2020;;;;29;25;32;
25.08.2020;;;;30;23;39;
26.08.2020;;;;35;27;29;
27.08.2020;;;;24;27;27;
28.08.2020;;;;21;28;38;
29.08.2020;;;;24;35;37;
30.08.2020;;;;28;19;37;
31.08.2020;;;;28;16;28;
01.09.2020;;;;23;20;39;
02.09.2020;;;;29;18;40;
03.09.2020;;;;22;19;34;
04.09.2020;;;;27;17;36;
05.09.2020;;;;35;17;45;
06.09.2020;;;;18;28;40;
07.09.2020;;;;30;21;32;
08.09.2020;;;;35;22;39;
09.09.2020;;;;15;25;32;
10.09.2020;;;;19;27;23;
11.09.2020;;;;25;26;26;
12.09.2020;;;;23;18;40;
13.09.2020;;;;30;23;36;
14.09.2020;;;;31;19;24;
15.09.2020;;;;25;18;30;
16.09.2020;;;;21;14;32;
17.09.2020;;;;14;20;38;
18.09.2020;;;;29;20;30;
19.09.2020;;;;25;23;36;
20.09.2020;;;;21;16;33;
21.09.2020;;;;20;30;32;
22.09.2020;;;;29;22;32;
23.09.2020;;;;19;25;36;
24.09.2020;;;;19;27;20;
25.09.2020;;;;25;22;27;
26.09.2020;;;;21;21;33;
27.09.2020;;;;15;20;31;
28.09.2020;;;;21;25;25;
29.09.2020;;;;29;18;27;
30.09.2020;;;;20;19;43;
01.10.2020;;;;31;27;32;
02.10.2020;;;;13;17;28;
03.10.2020;;;;21;19;17;
04.10.2020;;;;19;23;23;
05.10.2020;;;;18;33;32;
06.10.2020;;;;10;28;34;
07.10.2020;;;;16;12;28;
08.10.2020;;;;18;20;27;
09.10.2020;;;;16;23;33;
10.10.2020;;;;31;10;20;
11.10.2020;;;;15;25;28;
12.10.2020;;;;16;23;24;
13.10.2020;;;;19;20;22;
14.10.2020;;;;27;16;24;
15.10.2020;;;;27;30;23;
16.10.2020;;;;27;25;35;
17.10.2020;;;;28;26;29;
18.10.2020;;;;16;25;27;
19.10.2020;;;;23;22;20;
20.10.2020;;;;25;24;29;
21.10.2020;;;;19;21;23;
22.10.2020;;;;17;30;28;
23.10.2020;;;;24;18;34;
24.10.2020;;;;24;23;26;
25.10.2020;;;;21;20;36;
26.10.2020;;;;21;21;30;
27.10.2020;;;;18;20;31;
28.10.2020;;;;28;23;29;
29.10.2020;;;;23;29;34;
30.10.2020;;;;25;27;52;
31.10.2020;;;;26;20;25;
01.11.2020;;;;24;27;25;
02.11.2020;;;;22;16;39;
03.11.2020;;;;24;24;37;
04.11.2020;;;;28;20;36;
05.11.2020;;;;28;33;35;
06.11.2020;;;;31;27;44;
07.11.2020;;;;24;24;34;
08.11.2020;;;;26;24;57;
09.11.2020;;;;35;34;42;
10.11.2020;;;;22;26;54;
11.11.2020;;;;31;27;60;
12.11.2020;;;;19;16;65;
13.11.2020;;;;20;18;52;
14.11.2020;;;;29;23;50;
15.11.2020;;;;28;26;69;
16.11.2020;;;;23;27;53;
17.11.2020;;;;26;23;59;
18.11.2020;;;;22;26;50;
19.11.2020;;;;26;15;56;
20.11.2020;;;;29;20;66;
21.11.2020;;;;23;34;64;
22.11.2020;;;;13;18;60;
23.11.2020;;;;18;23;69;
24.11.2020;;;;15;22;68;
25.11.2020;;;;25;27;68;
26.11.2020;;;;28;25;47;
27.11.2020;;;;22;27;63;
28.11.2020;;;;31;26;59;
29.11.2020;;;;23;23;53;
30.11.2020;;;;21;18;59;
01.12.2020;;;;11;28;65;
02.12.2020;;;;21;20;69;
03.12.2020;;;;24;18;50;
04.12.2020;;;;16;31;44;
05.12.2020;;;;36;9;42;
06.12.2020;;;;25;30;73;
07.12.2020;;;;27;21;46;
