Date;2015;2016;2017;2018;2019;2020
16.06.2020;72;79;86;65;73;71
17.06.2020;66;76;62;78;91;89
18.06.2020;84;80;62;82;75;86
19.06.2020;79;89;72;62;98;94
20.06.2020;58;109;72;72;85;81
21.06.2020;69;112;73;83;91;70
22.06.2020;70;117;87;74;79;93
23.06.2020;67;111;66;75;80;79
24.06.2020;53;156;73;77;80;84
25.06.2020;57;166;75;78;87;68
26.06.2020;82;114;92;67;81;84
27.06.2020;52;99;74;80;101;75
28.06.2020;62;105;79;59;109;87
29.06.2020;65;77;100;82;90;80
30.06.2020;62;80;101;59;97;80
01.07.2020;56;84;126;74;90;102
02.07.2020;64;81;132;64;76;108
03.07.2020;81;73;125;75;98;101
04.07.2020;67;73;105;66;89;92
05.07.2020;65;84;85;94;75;109
06.07.2020;70;70;79;82;79;111
07.07.2020;72;87;71;83;66;86
08.07.2020;73;73;69;87;91;107
09.07.2020;77;75;83;84;87;102
10.07.2020;57;71;89;74;84;100
11.07.2020;67;68;81;91;86;92
12.07.2020;65;59;73;66;73;92
13.07.2020;86;86;81;84;75;90
14.07.2020;76;81;91;78;69;88
15.07.2020;75;75;101;83;61;77
16.07.2020;73;95;79;76;76;84
17.07.2020;70;64;70;92;68;70
18.07.2020;74;76;75;80;69;86
19.07.2020;81;67;96;109;66;73
20.07.2020;84;69;78;73;64;85
21.07.2020;85;66;70;96;83;81
22.07.2020;82;73;83;81;70;90
23.07.2020;70;70;68;75;97;76
24.07.2020;81;73;93;60;55;79
25.07.2020;75;83;78;63;71;87
26.07.2020;82;76;76;87;82;74
27.07.2020;74;70;80;72;88;95
28.07.2020;72;66;75;67;71;81
29.07.2020;86;73;61;74;80;91
30.07.2020;82;65;69;77;76;97
31.07.2020;94;74;73;87;104;109
01.08.2020;91;71;87;72;102;88
02.08.2020;85;74;72;86;84;117
03.08.2020;91;61;68;84;74;94
04.08.2020;92;76;82;83;81;88
05.08.2020;71;69;89;84;82;95
06.08.2020;83;66;69;90;79;92
07.08.2020;68;96;90;82;70;99
08.08.2020;63;85;78;74;66;86
09.08.2020;78;89;81;106;90;100
10.08.2020;79;94;92;107;69;80
11.08.2020;72;79;91;72;91;85
12.08.2020;76;89;65;64;81;83
13.08.2020;78;76;95;90;78;97
14.08.2020;70;71;68;91;82;98
15.08.2020;81;71;64;69;82;102
16.08.2020;77;78;75;83;80;69
17.08.2020;70;59;68;70;83;102
18.08.2020;82;60;70;69;72;84
19.08.2020;67;60;70;71;65;91
