Date;2015;2016;2017;2018;2019;2020
01.01.2020;;3;;;;
02.01.2020;1;;1;;;
03.01.2020;1;3;2;;3;2
04.01.2020;2;2;1;;1;1
05.01.2020;1;2;;;1;1
06.01.2020;1;1;;3;1;
07.01.2020;;1;1;;1;2
08.01.2020;1;2;;;1;1
09.01.2020;;1;;1;1;
10.01.2020;;2;1;;1;
11.01.2020;1;;1;;;
12.01.2020;1;1;;1;;
13.01.2020;;;2;;;
14.01.2020;;1;1;1;;2
15.01.2020;;;;;;
16.01.2020;;;2;;1;3
17.01.2020;;;1;;2;
18.01.2020;;;;2;;
19.01.2020;2;1;;;2;2
20.01.2020;1;;1;1;1;
21.01.2020;;;1;;;1
22.01.2020;;1;;;1;
23.01.2020;;1;3;1;;
24.01.2020;;;;2;;1
25.01.2020;3;1;1;2;1;
26.01.2020;;;2;;1;1
27.01.2020;;1;;1;3;1
28.01.2020;1;1;;;1;1
29.01.2020;;;3;1;2;1
30.01.2020;1;1;;1;;
31.01.2020;;2;;;1;2
01.02.2020;;;1;;;1
02.02.2020;2;1;1;;1;
03.02.2020;;1;1;3;1;1
04.02.2020;;;1;;;
05.02.2020;1;;;2;;1
06.02.2020;1;3;1;1;1;2
07.02.2020;;;;;2;
08.02.2020;3;1;2;;1;1
09.02.2020;;2;2;2;1;1
10.02.2020;1;;1;2;1;
11.02.2020;;1;1;1;3;
12.02.2020;1;1;1;;;1
13.02.2020;;1;1;2;1;1
14.02.2020;1;;1;;;
15.02.2020;;;;;1;2
16.02.2020;1;;1;;1;3
17.02.2020;;1;;;1;2
18.02.2020;1;;1;2;1;1
19.02.2020;2;;1;1;1;
20.02.2020;2;;;;2;
21.02.2020;;1;2;2;1;
22.02.2020;1;1;;1;;
23.02.2020;;;1;;;2
24.02.2020;4;;;3;;
25.02.2020;;;2;1;3;
26.02.2020;1;;2;;1;
27.02.2020;;1;;;;
28.02.2020;;;1;;3;1
29.02.2020;;;;;;
01.03.2020;;1;1;2;;1
02.03.2020;;1;1;1;;
03.03.2020;1;2;1;2;1;1
04.03.2020;;;;1;;2
05.03.2020;2;;;1;1;1
06.03.2020;;;;;2;
07.03.2020;;;1;;1;
08.03.2020;;1;;1;;
09.03.2020;1;3;;2;;2
10.03.2020;2;2;;;2;1
11.03.2020;;;2;;1;
12.03.2020;;1;1;1;;
13.03.2020;;;2;;;1
14.03.2020;1;;2;;;
15.03.2020;1;;;1;1;1
16.03.2020;1;;1;;1;1
17.03.2020;1;;;;;
18.03.2020;;;1;1;1;
19.03.2020;3;;;1;;
20.03.2020;;;;;1;
21.03.2020;1;1;2;;2;1
22.03.2020;1;1;;;;1
23.03.2020;;1;1;;;
24.03.2020;2;1;;;;2
25.03.2020;;;;1;;2
26.03.2020;1;3;;2;;2
27.03.2020;2;1;;1;1;3
28.03.2020;1;;;;2;
29.03.2020;;;1;1;;
30.03.2020;1;1;;;1;
31.03.2020;1;;1;2;1;2
01.04.2020;1;1;4;1;;
02.04.2020;;;;;2;3
03.04.2020;;;;3;1;
04.04.2020;;1;;;;1
05.04.2020;;;1;2;;1
06.04.2020;;;;;1;1
07.04.2020;;3;1;;1;
08.04.2020;;1;;;3;2
09.04.2020;;1;;2;;
10.04.2020;1;;1;2;;
11.04.2020;2;2;;2;;
12.04.2020;1;1;1;;1;4
13.04.2020;2;;2;;;
14.04.2020;1;;2;2;1;1
15.04.2020;;;1;2;;1
16.04.2020;2;;1;1;1;1
17.04.2020;;1;1;;2;
18.04.2020;2;;;;1;
19.04.2020;;1;;1;1;1
20.04.2020;;;;;;
21.04.2020;2;;;1;2;
22.04.2020;;;;1;;2
23.04.2020;;;3;;;1
24.04.2020;1;1;;1;;
25.04.2020;2;;2;2;1;
26.04.2020;;1;2;1;1;
27.04.2020;2;;1;1;1;
28.04.2020;;;1;2;;
29.04.2020;1;;;1;;
30.04.2020;;;1;;;1
01.05.2020;;;1;;2;1
02.05.2020;;2;;3;2;3
03.05.2020;1;;1;;2;1
04.05.2020;;;;;;1
05.05.2020;;;1;;;1
06.05.2020;1;;2;1;;2
07.05.2020;1;;;1;1;1
08.05.2020;;1;;;;
09.05.2020;;;;1;;1
10.05.2020;;1;;1;1;1
11.05.2020;;2;1;;3;2
12.05.2020;;2;;;1;
13.05.2020;;1;1;;;1
14.05.2020;;1;2;;1;
15.05.2020;;;;1;2;
16.05.2020;;;;1;;1
17.05.2020;;2;;1;1;1
18.05.2020;;1;;;1;
19.05.2020;;3;1;;;2
20.05.2020;;;1;;;
21.05.2020;;3;;;3;
22.05.2020;;1;;;;
23.05.2020;1;;;;1;1
24.05.2020;2;;;;1;1
25.05.2020;;;;2;1;
26.05.2020;;2;;1;;
27.05.2020;;;1;;;
28.05.2020;;;;1;2;
29.05.2020;;;;1;;
30.05.2020;;1;1;;1;
31.05.2020;1;;1;;1;1
01.06.2020;;;;;1;
02.06.2020;;;;2;;3
03.06.2020;1;;1;;1;1
04.06.2020;;;;2;;
05.06.2020;1;1;1;;1;2
06.06.2020;2;2;;1;;
07.06.2020;1;1;3;;;
08.06.2020;;;;;;
09.06.2020;;;1;;2;
10.06.2020;1;;;;2;
11.06.2020;;;;2;;1
12.06.2020;;1;1;;1;
13.06.2020;;2;;;1;
14.06.2020;1;3;1;;;3
15.06.2020;;;3;;1;2
16.06.2020;;1;;1;1;1
17.06.2020;1;;;1;;
18.06.2020;;;1;;1;2
19.06.2020;;;;;;
20.06.2020;2;;;;;1
21.06.2020;;;;;;
22.06.2020;1;;;1;1;
23.06.2020;;1;1;1;;1
24.06.2020;;1;;;2;
25.06.2020;;;1;1;;
26.06.2020;;;4;;;1
27.06.2020;1;;;1;1;1
28.06.2020;1;1;;;;2
29.06.2020;;1;;;;
30.06.2020;2;1;;1;;2
01.07.2020;1;1;2;;;1
02.07.2020;;;;1;;1
03.07.2020;2;;;;1;1
04.07.2020;1;;1;1;2;2
05.07.2020;;3;1;1;;2
06.07.2020;1;2;;;;
07.07.2020;2;;;1;;2
08.07.2020;1;;2;2;1;
09.07.2020;;;;1;;
10.07.2020;;;2;;;
11.07.2020;1;;2;1;2;1
12.07.2020;;2;2;;;3
13.07.2020;1;;;2;;1
14.07.2020;2;1;;;;1
15.07.2020;2;2;1;;2;
16.07.2020;2;;;;1;
17.07.2020;;;2;;;
18.07.2020;;1;1;;;
19.07.2020;;3;1;;;1
20.07.2020;;4;1;;2;1
21.07.2020;;;1;;;
22.07.2020;;;3;1;;
23.07.2020;;;;;1;
24.07.2020;;;1;;1;1
25.07.2020;1;1;;2;;
26.07.2020;;1;2;;1;
27.07.2020;;2;1;;;
28.07.2020;1;1;;;1;
29.07.2020;;1;;;;
30.07.2020;3;1;;3;3;2
31.07.2020;1;;1;;1;3
01.08.2020;1;;2;1;1;
02.08.2020;;1;2;;3;
03.08.2020;;;1;1;;
04.08.2020;;1;;;;
05.08.2020;;1;;;1;1
06.08.2020;;;1;;;
07.08.2020;1;;1;1;1;1
08.08.2020;1;;;1;1;1
09.08.2020;;;2;1;1;1
10.08.2020;1;;;;1;1
11.08.2020;;2;;1;2;1
12.08.2020;;3;2;;;
13.08.2020;1;;;;2;
14.08.2020;1;;1;1;1;
15.08.2020;1;1;2;;1;1
16.08.2020;;;;1;;1
17.08.2020;;;;3;1;
18.08.2020;1;1;;1;;
19.08.2020;1;1;;;1;1
20.08.2020;;;;1;;1
21.08.2020;;;;1;1;
22.08.2020;;1;;;1;1
23.08.2020;2;;1;1;;4
24.08.2020;;1;;;;2
25.08.2020;2;1;1;1;2;
26.08.2020;;;;1;;2
27.08.2020;;1;1;;1;2
28.08.2020;;1;;;;
29.08.2020;;;;1;;1
30.08.2020;;1;;2;;2
31.08.2020;;1;1;1;;1
01.09.2020;;;;1;1;2
02.09.2020;1;;;;1;3
03.09.2020;1;;;;;2
04.09.2020;;1;;3;;2
05.09.2020;1;;;2;;4
06.09.2020;;;1;1;;2
07.09.2020;;1;;;;
08.09.2020;1;;3;;2;5
09.09.2020;;;;1;;3
10.09.2020;1;1;;1;;2
11.09.2020;;;1;1;;1
12.09.2020;3;2;;2;;1
13.09.2020;;;;;;1
14.09.2020;1;;;1;1;
15.09.2020;;2;;;2;1
16.09.2020;2;;1;1;3;1
17.09.2020;1;;1;;;2
18.09.2020;;;1;;;
19.09.2020;1;;;;1;1
20.09.2020;1;1;1;1;1;4
21.09.2020;;;;1;;1
22.09.2020;3;1;1;;;1
23.09.2020;;;;1;2;1
24.09.2020;;1;2;;;1
25.09.2020;;1;;;1;2
26.09.2020;;;1;;;1
27.09.2020;;;2;;;3
28.09.2020;;1;1;;;3
29.09.2020;2;;1;;1;3
30.09.2020;;;2;1;2;1
01.10.2020;;3;1;1;;
02.10.2020;1;;1;2;;
03.10.2020;;;1;2;;4
04.10.2020;1;;4;1;1;1
05.10.2020;2;;;1;;2
06.10.2020;;1;;1;;
07.10.2020;;1;;;1;2
08.10.2020;;;1;;;1
09.10.2020;1;2;1;1;;3
