date;2015;2016;2017;2018;2019;2020;2021
30.06.2020;;;;8;9;11;
01.07.2020;;;;7;7;9;
02.07.2020;;;;5;5;7;
03.07.2020;;;;6;6;12;
04.07.2020;;;;3;8;6;
05.07.2020;;;;8;4;7;
06.07.2020;;;;9;5;9;
07.07.2020;;;;12;7;2;
08.07.2020;;;;15;5;7;
09.07.2020;;;;9;5;4;
10.07.2020;;;;12;3;6;
11.07.2020;;;;6;4;6;
12.07.2020;;;;7;7;5;
13.07.2020;;;;8;5;2;
14.07.2020;;;;11;4;6;
15.07.2020;;;;7;7;8;
16.07.2020;;;;6;5;3;
17.07.2020;;;;8;12;13;
18.07.2020;;;;9;3;8;
19.07.2020;;;;5;1;11;
20.07.2020;;;;7;7;8;
21.07.2020;;;;9;8;5;
22.07.2020;;;;7;6;18;
23.07.2020;;;;5;5;6;
24.07.2020;;;;8;10;9;
25.07.2020;;;;5;3;6;
26.07.2020;;;;6;4;4;
27.07.2020;;;;8;4;4;
28.07.2020;;;;4;9;12;
29.07.2020;;;;7;6;5;
30.07.2020;;;;8;12;6;
31.07.2020;;;;7;9;12;
01.08.2020;;;;11;8;7;
02.08.2020;;;;6;6;14;
03.08.2020;;;;10;10;5;
04.08.2020;;;;5;1;5;
05.08.2020;;;;6;10;13;
06.08.2020;;;;7;7;10;
07.08.2020;;;;5;10;12;
08.08.2020;;;;10;6;11;
09.08.2020;;;;11;10;6;
10.08.2020;;;;5;5;8;
11.08.2020;;;;5;8;8;
12.08.2020;;;;8;9;13;
13.08.2020;;;;5;8;9;
14.08.2020;;;;5;11;3;
15.08.2020;;;;10;5;9;
16.08.2020;;;;7;7;12;
17.08.2020;;;;2;6;9;
18.08.2020;;;;9;8;8;
19.08.2020;;;;16;8;16;
20.08.2020;;;;5;7;7;
21.08.2020;;;;8;8;9;
22.08.2020;;;;7;8;6;
23.08.2020;;;;7;7;17;
24.08.2020;;;;6;5;4;
25.08.2020;;;;10;7;10;
26.08.2020;;;;9;5;11;
27.08.2020;;;;15;8;9;
28.08.2020;;;;7;5;12;
29.08.2020;;;;6;6;16;
30.08.2020;;;;10;7;16;
31.08.2020;;;;4;11;3;
01.09.2020;;;;9;8;18;
02.09.2020;;;;9;4;18;
03.09.2020;;;;12;5;22;
04.09.2020;;;;4;5;11;
05.09.2020;;;;3;2;1;
06.09.2020;;;;4;7;14;
07.09.2020;;;;7;4;15;
08.09.2020;;;;3;5;11;
09.09.2020;;;;3;9;16;
10.09.2020;;;;10;9;11;
11.09.2020;;;;7;5;21;
12.09.2020;;;;9;8;15;
13.09.2020;;;;6;6;17;
14.09.2020;;;;12;6;12;
15.09.2020;;;;3;8;14;
16.09.2020;;;;8;6;18;
17.09.2020;;;;11;7;17;
18.09.2020;;;;6;2;27;
19.09.2020;;;;3;4;16;
20.09.2020;;;;4;7;13;
21.09.2020;;;;7;7;15;
22.09.2020;;;;8;6;14;
23.09.2020;;;;1;10;10;
24.09.2020;;;;5;1;14;
25.09.2020;;;;7;6;14;
26.09.2020;;;;10;6;14;
27.09.2020;;;;2;3;14;
28.09.2020;;;;12;4;14;
29.09.2020;;;;6;9;14;
30.09.2020;;;;5;7;10;
01.10.2020;;;;7;5;20;
02.10.2020;;;;4;6;12;
03.10.2020;;;;2;10;14;
04.10.2020;;;;7;14;21;
05.10.2020;;;;5;6;12;
