Date;2016;2017;2018;2019;2020
01.01.2020;1;2;3;;1
02.01.2020;;;3;;1
03.01.2020;1;4;;;1
04.01.2020;2;3;2;1;1
05.01.2020;1;1;1;1;
06.01.2020;1;;1;1;3
07.01.2020;;1;;;3
08.01.2020;2;1;2;1;2
09.01.2020;1;1;;4;1
10.01.2020;1;2;;1;1
11.01.2020;2;1;2;3;2
12.01.2020;3;;2;1;1
13.01.2020;;;;;
14.01.2020;1;1;1;;
15.01.2020;1;1;;1;1
16.01.2020;1;1;1;1;1
17.01.2020;1;3;1;;
18.01.2020;1;1;2;4;
19.01.2020;1;;;3;2
20.01.2020;1;;1;3;1
21.01.2020;5;1;3;2;
22.01.2020;;;1;;3
23.01.2020;;1;;1;1
24.01.2020;3;4;;2;1
25.01.2020;1;;1;1;2
26.01.2020;3;2;4;;
27.01.2020;1;;2;1;
28.01.2020;;2;;4;
29.01.2020;1;1;4;;
30.01.2020;;3;;;1
31.01.2020;;;2;;1
01.02.2020;2;3;1;1;2
02.02.2020;1;2;1;;1
03.02.2020;1;1;2;1;2
04.02.2020;1;2;;1;1
05.02.2020;;2;1;1;
06.02.2020;;2;1;1;
07.02.2020;;2;;1;2
08.02.2020;1;1;1;;1
09.02.2020;;2;1;1;
10.02.2020;3;1;2;1;
11.02.2020;3;1;;1;1
12.02.2020;;1;1;1;
13.02.2020;;;1;1;1
14.02.2020;2;2;1;2;1
15.02.2020;;3;2;2;1
16.02.2020;2;1;2;1;1
17.02.2020;;1;1;1;2
18.02.2020;;;;1;1
19.02.2020;;;;;1
20.02.2020;1;;1;;1
21.02.2020;4;1;;;3
22.02.2020;2;1;;;
23.02.2020;2;1;1;3;1
24.02.2020;;;2;;1
25.02.2020;;;1;2;
26.02.2020;;2;1;;
27.02.2020;;;2;;1
28.02.2020;;1;;;1
29.02.2020;;;;;1
01.03.2020;1;;;2;1
02.03.2020;;1;1;;1
03.03.2020;2;1;1;;
04.03.2020;3;1;;1;1
05.03.2020;;2;;1;
06.03.2020;1;2;2;1;3
07.03.2020;;3;;1;2
08.03.2020;1;1;;1;3
09.03.2020;2;1;;;1
10.03.2020;1;;;1;2
11.03.2020;1;1;;1;1
12.03.2020;;3;;1;
13.03.2020;;3;1;;3
14.03.2020;;3;1;;2
15.03.2020;;;;1;2
16.03.2020;;1;1;1;
17.03.2020;9;;2;;
18.03.2020;2;;;1;
19.03.2020;;;1;3;3
20.03.2020;1;1;3;4;1
21.03.2020;1;;1;2;
22.03.2020;1;;;1;2
23.03.2020;2;;2;;
24.03.2020;1;2;1;2;1
25.03.2020;2;;;;
26.03.2020;;1;;2;2
27.03.2020;;2;1;2;2
28.03.2020;1;;1;1;
29.03.2020;2;1;;2;
30.03.2020;2;;;1;2
31.03.2020;1;;;;2
01.04.2020;2;1;;1;2
02.04.2020;1;1;2;2;2
03.04.2020;;1;1;1;3
04.04.2020;;;;;1
05.04.2020;2;1;1;3;1
06.04.2020;1;1;2;1;
07.04.2020;1;;;1;
08.04.2020;;2;1;1;2
09.04.2020;;;;3;
10.04.2020;2;4;;1;
11.04.2020;1;;1;2;1
12.04.2020;;1;1;;2
13.04.2020;;;;1;
14.04.2020;1;;3;1;
15.04.2020;3;1;;;1
16.04.2020;;;1;1;1
17.04.2020;1;;;;
18.04.2020;;;1;4;
19.04.2020;;2;;1;
20.04.2020;;;2;;
