Date;2016;2017;2018;2019;2020
21.07.2020;4;6;2;4;1
22.07.2020;;6;2;4;8
23.07.2020;5;3;1;1;5
24.07.2020;3;2;2;1;2
25.07.2020;3;2;2;0;4
26.07.2020;2;3;1;4;6
27.07.2020;9;4;2;1;3
28.07.2020;;4;4;3;5
29.07.2020;4;1;2;3;4
30.07.2020;4;2;7;;3
31.07.2020;5;1;3;3;1
01.08.2020;7;2;2;4;2
02.08.2020;;2;3;1;4
03.08.2020;2;4;1;2;3
04.08.2020;2;3;1;;6
05.08.2020;1;3;;2;4
06.08.2020;8;;;4;
07.08.2020;3;1;2;2;1
08.08.2020;2;5;2;3;2
09.08.2020;3;2;4;3;6
10.08.2020;7;2;2;5;
11.08.2020;4;1;3;2;3
12.08.2020;4;1;1;4;2
13.08.2020;3;1;8;6;1
14.08.2020;2;1;4;4;3
15.08.2020;6;3;2;3;1
16.08.2020;3;1;4;3;4
17.08.2020;1;2;6;4;4
18.08.2020;2;3;3;4;1
19.08.2020;;1;3;2;2
20.08.2020;;5;2;2;2
21.08.2020;3;5;;2;2
22.08.2020;3;3;2;;5
23.08.2020;5;;3;4;2
24.08.2020;5;;2;3;3
25.08.2020;1;2;9;4;2
26.08.2020;2;;3;4;7
27.08.2020;4;5;1;3;6
28.08.2020;3;3;2;1;
29.08.2020;4;4;2;1;3
30.08.2020;3;3;3;3;5
31.08.2020;1;1;1;3;4
01.09.2020;1;4;1;2;2
02.09.2020;2;2;2;3;1
03.09.2020;4;2;5;2;3
04.09.2020;;;3;6;2
05.09.2020;1;;2;2;3
06.09.2020;3;1;2;2;9
07.09.2020;4;1;5;5;4
08.09.2020;1;4;3;3;2
09.09.2020;4;2;2;3;3
10.09.2020;3;5;1;7;3
11.09.2020;1;1;2;3;3
12.09.2020;3;3;2;;2
13.09.2020;4;2;1;1;
14.09.2020;2;4;5;1;3
15.09.2020;2;4;3;3;1
16.09.2020;4;2;1;2;
17.09.2020;2;3;2;1;2
18.09.2020;;1;3;;3
19.09.2020;;2;;4;6
20.09.2020;;1;3;3;5
21.09.2020;;3;3;2;3
22.09.2020;2;2;3;;
23.09.2020;1;;2;1;3
24.09.2020;1;6;1;2;4
25.09.2020;1;2;4;;1
26.09.2020;1;4;1;4;2
27.09.2020;6;4;1;1;3
28.09.2020;2;3;2;1;1
29.09.2020;2;3;3;3;3
30.09.2020;2;4;3;3;6
01.10.2020;1;;2;3;
02.10.2020;1;5;3;1;8
03.10.2020;2;3;2;2;12
04.10.2020;5;2;1;4;
05.10.2020;4;4;2;5;12
06.10.2020;3;5;1;1;6
07.10.2020;6;8;2;1;6
08.10.2020;;2;2;2;8
09.10.2020;1;3;4;;
10.10.2020;1;5;3;5;
11.10.2020;1;5;2;6;
12.10.2020;4;1;4;3;
13.10.2020;;6;1;;4
14.10.2020;4;6;5;1;6
15.10.2020;2;4;4;5;10
16.10.2020;1;4;5;3;
17.10.2020;1;2;;2;4
18.10.2020;1;;2;1;
19.10.2020;1;2;;2;2
20.10.2020;2;;3;3;1
21.10.2020;2;;3;2;3
22.10.2020;2;7;3;2;1
23.10.2020;1;2;6;;3
24.10.2020;5;;;3;1
25.10.2020;2;3;2;1;2
26.10.2020;3;1;1;1;3
27.10.2020;;1;3;2;2
28.10.2020;3;4;4;1;6
29.10.2020;3;5;2;4;4
30.10.2020;1;1;2;5;2
31.10.2020;;4;4;4;6
01.11.2020;1;5;3;2;4
02.11.2020;4;6;3;2;6
03.11.2020;5;1;5;4;2
04.11.2020;4;3;1;3;
05.11.2020;3;1;5;3;3
06.11.2020;2;;4;3;4
07.11.2020;2;4;3;4;4
08.11.2020;4;4;2;4;6
09.11.2020;2;2;1;1;4
10.11.2020;3;;4;;4
11.11.2020;;3;3;;1
12.11.2020;3;2;;2;4
13.11.2020;2;3;1;1;5
14.11.2020;4;4;1;2;2
15.11.2020;2;;3;6;6
16.11.2020;2;3;4;3;8
17.11.2020;;4;5;2;8
18.11.2020;1;2;1;3;6
19.11.2020;2;3;6;2;5
20.11.2020;;7;2;3;8
21.11.2020;1;2;4;4;8
22.11.2020;5;3;1;3;3
23.11.2020;3;3;2;3;5
24.11.2020;;6;2;1;9
25.11.2020;1;4;1;3;4
26.11.2020;2;2;3;1;6
27.11.2020;1;1;1;3;6
28.11.2020;2;;3;1;6
29.11.2020;2;5;;;4
30.11.2020;1;2;;3;8
01.12.2020;;7;1;1;7
02.12.2020;5;3;1;6;8
03.12.2020;1;1;2;2;9
04.12.2020;2;;2;2;6
05.12.2020;2;5;3;3;16
06.12.2020;3;1;2;2;12
07.12.2020;1;3;6;3;12
08.12.2020;2;2;2;3;15
09.12.2020;2;;2;1;
10.12.2020;3;3;1;2;
11.12.2020;4;5;2;1;
12.12.2020;3;6;4;2;
13.12.2020;7;1;3;3;
14.12.2020;;1;2;2;
15.12.2020;3;1;3;2;
16.12.2020;2;4;1;4;
17.12.2020;;1;4;3;
18.12.2020;3;7;3;4;
19.12.2020;3;4;2;6;
20.12.2020;1;3;;4;
21.12.2020;2;6;7;3;
22.12.2020;2;;4;2;
23.12.2020;1;3;3;5;
24.12.2020;5;4;1;3;
25.12.2020;3;2;6;2;
26.12.2020;4;3;4;2;
27.12.2020;4;1;6;3;
28.12.2020;1;3;;6;
29.12.2020;8;3;3;2;
30.12.2020;2;2;2;3;
31.12.2020;5;5;3;3;
