date;2015;2016;2017;2018;2019;2020;2021
02.06.2020;10;14;13;10;7;8;
03.06.2020;8;4;14;13;8;12;
04.06.2020;14;20;10;9;6;6;
05.06.2020;10;11;6;6;18;5;
06.06.2020;9;11;4;9;8;10;
07.06.2020;8;13;7;12;10;8;
08.06.2020;7;13;8;7;7;5;
09.06.2020;12;21;2;5;10;9;
10.06.2020;4;8;9;10;14;8;
11.06.2020;10;27;5;10;11;9;
12.06.2020;8;19;3;6;5;9;
13.06.2020;8;25;8;9;11;7;
14.06.2020;9;15;11;4;8;7;
15.06.2020;5;4;8;9;10;8;
16.06.2020;7;8;5;10;5;2;
17.06.2020;4;7;7;14;11;10;
18.06.2020;7;24;5;5;9;9;
19.06.2020;4;25;11;14;7;4;
20.06.2020;8;12;8;6;6;8;
21.06.2020;5;16;7;15;11;7;
22.06.2020;11;10;9;9;7;5;
23.06.2020;10;13;2;10;7;11;
24.06.2020;10;10;13;9;21;8;
25.06.2020;5;25;10;9;8;9;
26.06.2020;5;15;7;5;6;9;
27.06.2020;9;15;7;6;11;6;
28.06.2020;7;17;13;4;7;5;
29.06.2020;7;10;17;5;9;5;
30.06.2020;2;13;15;8;8;11;
01.07.2020;10;10;8;10;11;8;
02.07.2020;4;39;12;11;9;7;
03.07.2020;9;10;12;9;12;13;
04.07.2020;6;10;14;9;10;9;
05.07.2020;5;6;16;11;7;17;
06.07.2020;5;4;10;10;6;6;
07.07.2020;7;9;7;6;6;11;
08.07.2020;13;11;14;12;8;7;
09.07.2020;6;7;16;7;10;15;
10.07.2020;9;7;11;4;5;10;
11.07.2020;10;5;6;7;10;8;
12.07.2020;3;8;10;14;6;15;
13.07.2020;7;7;10;11;6;16;
14.07.2020;4;7;14;10;6;14;
15.07.2020;6;14;9;7;7;8;
16.07.2020;7;7;9;10;10;7;
17.07.2020;10;6;8;14;10;10;
18.07.2020;7;11;6;9;11;15;
19.07.2020;8;11;8;8;4;8;
20.07.2020;10;8;7;7;10;12;
21.07.2020;12;9;6;6;10;11;
22.07.2020;6;5;11;4;6;13;
23.07.2020;8;7;6;6;8;12;
24.07.2020;6;6;8;7;8;10;
25.07.2020;10;12;6;11;11;12;
26.07.2020;11;8;7;15;9;11;
27.07.2020;12;12;5;5;8;13;
28.07.2020;4;6;8;8;12;8;
29.07.2020;9;8;7;13;6;12;
30.07.2020;11;9;5;13;12;10;
31.07.2020;9;11;10;11;10;16;
01.08.2020;9;4;13;16;9;11;
02.08.2020;8;9;5;11;16;14;
03.08.2020;4;10;13;7;10;9;
04.08.2020;11;5;13;7;12;13;
05.08.2020;11;9;9;12;11;9;
06.08.2020;15;10;11;8;10;18;
07.08.2020;22;7;9;14;9;13;
08.08.2020;11;7;8;11;9;17;
09.08.2020;9;16;8;12;9;15;
10.08.2020;18;11;9;8;12;13;
11.08.2020;3;15;9;7;8;10;
12.08.2020;12;12;8;9;9;16;
13.08.2020;11;9;9;5;18;18;
14.08.2020;14;8;11;12;10;10;
15.08.2020;21;13;7;10;14;11;
16.08.2020;12;10;6;4;7;19;
17.08.2020;12;9;8;6;10;23;
18.08.2020;13;10;14;9;8;10;
19.08.2020;12;2;14;7;7;21;
20.08.2020;13;12;13;11;4;24;
21.08.2020;10;10;11;10;5;11;
22.08.2020;7;13;13;6;8;10;
23.08.2020;9;7;13;11;6;27;
24.08.2020;18;17;8;14;7;20;
25.08.2020;1;9;5;15;8;20;
26.08.2020;13;8;12;15;7;18;
27.08.2020;4;9;7;17;12;23;
28.08.2020;9;11;8;8;7;20;
29.08.2020;9;12;14;12;10;22;
30.08.2020;6;9;11;11;11;18;
31.08.2020;6;7;4;8;7;17;
01.09.2020;7;9;6;3;8;13;
02.09.2020;9;7;14;11;9;23;
03.09.2020;6;13;9;9;11;22;
04.09.2020;3;4;10;6;13;25;
05.09.2020;11;10;17;9;10;26;
06.09.2020;5;11;8;8;12;30;
07.09.2020;8;8;5;12;7;35;
08.09.2020;7;11;14;12;11;24;
09.09.2020;7;7;10;10;12;21;
10.09.2020;7;11;11;11;11;31;
11.09.2020;8;4;10;8;8;28;
12.09.2020;5;8;12;6;3;31;
13.09.2020;10;7;3;7;8;34;
14.09.2020;8;11;4;6;6;31;
15.09.2020;4;6;11;14;16;30;
16.09.2020;10;9;16;11;7;22;
17.09.2020;5;7;15;12;12;21;
18.09.2020;6;6;7;7;4;26;
19.09.2020;7;7;7;7;6;26;
20.09.2020;16;7;9;5;7;22;
21.09.2020;10;6;9;14;10;31;
22.09.2020;14;4;4;9;6;17;
23.09.2020;9;9;8;4;13;18;
24.09.2020;9;8;4;7;7;24;
25.09.2020;17;8;2;9;12;25;
26.09.2020;18;6;15;7;6;23;
27.09.2020;18;7;7;9;6;24;
28.09.2020;3;10;3;7;12;12;
29.09.2020;6;11;12;8;14;9;
30.09.2020;4;9;10;12;3;19;
01.10.2020;3;6;10;6;8;18;
02.10.2020;8;11;10;12;8;21;
03.10.2020;10;8;8;7;12;27;
04.10.2020;10;5;6;6;14;15;
05.10.2020;6;8;9;8;18;14;
