Date;2015;2016;2017;2018;2019;2020;2021
11.07.2020;;;;;19;21;
12.07.2020;;;;;12;25;
13.07.2020;;;;;17;23;
14.07.2020;;;;;16;14;
15.07.2020;;;;;16;17;
16.07.2020;;;;;18;20;
17.07.2020;;;;;12;27;
18.07.2020;;;;;13;16;
19.07.2020;;;;;10;18;
20.07.2020;;;;;18;15;
21.07.2020;;;;;10;11;
22.07.2020;;;;;15;16;
23.07.2020;;;;;20;19;
24.07.2020;;;;;19;29;
25.07.2020;;;;;23;18;
26.07.2020;;;;;14;26;
27.07.2020;;;;;18;16;
28.07.2020;;;;;16;20;
29.07.2020;;;;;14;17;
30.07.2020;;;;;19;25;
31.07.2020;;;;;25;18;
01.08.2020;;;;;18;17;
02.08.2020;;;;;12;12;
03.08.2020;;;;;19;18;
04.08.2020;;;;;18;21;
05.08.2020;;;;;10;15;
06.08.2020;;;;;22;24;
07.08.2020;;;;;20;24;
08.08.2020;;;;;15;16;
09.08.2020;;;;;17;20;
10.08.2020;;;;;23;21;
11.08.2020;;;;;12;16;
12.08.2020;;;;;19;18;
13.08.2020;;;;;17;15;
14.08.2020;;;;;23;23;
15.08.2020;;;;;14;21;
16.08.2020;;;;;19;19;
17.08.2020;;;;;21;9;
18.08.2020;;;;;15;15;
19.08.2020;;;;;12;23;
20.08.2020;;;;;24;13;
21.08.2020;;;;;17;17;
22.08.2020;;;;;27;22;
23.08.2020;;;;;20;27;
24.08.2020;;;;;14;16;
25.08.2020;;;;;13;26;
26.08.2020;;;;;14;17;
27.08.2020;;;;;20;22;
28.08.2020;;;;;17;22;
29.08.2020;;;;;12;16;
30.08.2020;;;;;29;19;
31.08.2020;;;;;15;13;
01.09.2020;;;;;21;22;
02.09.2020;;;;;23;21;
03.09.2020;;;;;21;26;
04.09.2020;;;;;20;15;
05.09.2020;;;;;23;26;
06.09.2020;;;;;18;10;
07.09.2020;;;;;17;11;
08.09.2020;;;;;15;25;
09.09.2020;;;;;16;20;
10.09.2020;;;;;19;19;
11.09.2020;;;;;17;25;
12.09.2020;;;;;23;17;
13.09.2020;;;;;18;20;
14.09.2020;;;;;15;24;
15.09.2020;;;;;16;26;
16.09.2020;;;;;18;19;
17.09.2020;;;;;17;26;
18.09.2020;;;;;19;20;
19.09.2020;;;;;11;20;
20.09.2020;;;;;16;20;
21.09.2020;;;;;14;16;
22.09.2020;;;;;25;18;
23.09.2020;;;;;24;16;
24.09.2020;;;;;17;15;
25.09.2020;;;;;20;15;
26.09.2020;;;;;16;16;
27.09.2020;;;;;14;28;
28.09.2020;;;;;18;17;
29.09.2020;;;;;9;18;
30.09.2020;;;;;24;26;
01.10.2020;;;;;14;24;
02.10.2020;;;;;16;25;
03.10.2020;;;;;19;25;
04.10.2020;;;;;29;23;
05.10.2020;;;;;23;14;
06.10.2020;;;;;18;21;
07.10.2020;;;;;23;18;
08.10.2020;;;;;24;16;
09.10.2020;;;;;12;19;
10.10.2020;;;;;16;20;
11.10.2020;;;;;16;22;
12.10.2020;;;;;14;17;
13.10.2020;;;;;16;22;
14.10.2020;;;;;21;16;
15.10.2020;;;;;23;24;
16.10.2020;;;;;21;20;
17.10.2020;;;;;14;27;
18.10.2020;;;;;17;21;
19.10.2020;;;;;17;20;
20.10.2020;;;;;24;17;
21.10.2020;;;;;10;15;
22.10.2020;;;;;31;20;
23.10.2020;;;;;18;19;
24.10.2020;;;;;20;21;
25.10.2020;;;;;24;27;
26.10.2020;;;;;14;18;
27.10.2020;;;;;12;23;
28.10.2020;;;;;13;23;
29.10.2020;;;;;17;21;
30.10.2020;;;;;17;23;
31.10.2020;;;;;23;18;
01.11.2020;;;;;17;27;
02.11.2020;;;;;20;25;
03.11.2020;;;;;17;26;
04.11.2020;;;;;15;37;
05.11.2020;;;;;23;22;
06.11.2020;;;;;25;34;
07.11.2020;;;;;21;31;
08.11.2020;;;;;25;25;
09.11.2020;;;;;20;23;
10.11.2020;;;;;21;44;
11.11.2020;;;;;16;31;
12.11.2020;;;;;22;26;
13.11.2020;;;;;19;41;
14.11.2020;;;;;18;31;
15.11.2020;;;;;15;39;
16.11.2020;;;;;15;33;
17.11.2020;;;;;19;33;
18.11.2020;;;;;15;41;
19.11.2020;;;;;17;38;
20.11.2020;;;;;22;39;
21.11.2020;;;;;25;51;
22.11.2020;;;;;15;45;
23.11.2020;;;;;18;52;
24.11.2020;;;;;23;45;
25.11.2020;;;;;17;55;
26.11.2020;;;;;19;52;
27.11.2020;;;;;14;48;
28.11.2020;;;;;19;51;
29.11.2020;;;;;24;47;
30.11.2020;;;;;14;46;
01.12.2020;;;;;23;51;
02.12.2020;;;;;19;63;
03.12.2020;;;;;19;48;
04.12.2020;;;;;21;43;
05.12.2020;;;;;18;43;
06.12.2020;;;;;16;41;
07.12.2020;;;;;14;55;
08.12.2020;;;;;20;49;
09.12.2020;;;;;13;46;
10.12.2020;;;;;25;35;
11.12.2020;;;;;24;50;
12.12.2020;;;;;19;50;
13.12.2020;;;;;18;40;
14.12.2020;;;;;16;44;
15.12.2020;;;;;20;33;
16.12.2020;;;;;20;35;
17.12.2020;;;;;24;39;
18.12.2020;;;;;25;37;
19.12.2020;;;;;18;39;
20.12.2020;;;;;20;34;
21.12.2020;;;;;20;40;
22.12.2020;;;;;19;38;
23.12.2020;;;;;25;26;
24.12.2020;;;;;30;30;
25.12.2020;;;;;25;48;
26.12.2020;;;;;14;31;
27.12.2020;;;;;20;30;
28.12.2020;;;;;13;27;
29.12.2020;;;;;29;29;
30.12.2020;;;;;16;32;32
31.12.2020;;;;;27;32;32
