Date;2015;2016;2017;2018;2019;2020;2021
02.06.2020;15;25;16;13;16;21;
03.06.2020;17;21;14;20;18;22;
04.06.2020;15;21;18;16;15;15;
05.06.2020;17;18;15;17;17;18;
06.06.2020;14;23;18;18;20;26;
07.06.2020;14;15;16;16;21;19;
08.06.2020;10;13;25;13;16;21;
09.06.2020;14;19;13;17;14;22;
10.06.2020;16;18;10;21;18;18;
11.06.2020;22;17;16;18;20;19;
12.06.2020;17;21;19;13;12;11;
13.06.2020;18;24;23;22;17;16;
14.06.2020;19;16;21;22;12;22;
15.06.2020;14;19;17;10;15;22;
16.06.2020;10;11;8;16;11;25;
17.06.2020;14;25;6;17;18;12;
18.06.2020;15;25;19;17;20;16;
19.06.2020;17;20;18;13;18;14;
20.06.2020;23;25;17;16;17;20;
21.06.2020;12;27;13;16;15;24;
22.06.2020;15;16;21;17;15;28;
23.06.2020;12;27;18;17;10;13;
24.06.2020;20;25;21;12;18;16;
25.06.2020;21;20;24;10;20;17;
26.06.2020;20;36;21;13;24;16;
27.06.2020;10;24;22;17;20;14;
28.06.2020;18;19;20;24;21;20;
29.06.2020;17;18;25;10;20;23;
30.06.2020;18;17;19;17;20;15;
01.07.2020;17;24;30;21;12;24;
02.07.2020;13;18;37;21;13;20;
03.07.2020;18;22;31;21;18;25;
04.07.2020;20;15;32;18;26;24;
05.07.2020;23;23;27;23;20;19;
06.07.2020;19;17;22;18;21;22;
07.07.2020;11;12;25;18;31;33;
08.07.2020;24;18;18;17;15;18;
09.07.2020;15;13;16;21;32;25;
10.07.2020;13;17;17;22;22;19;
11.07.2020;20;18;17;26;14;18;
12.07.2020;18;14;13;18;10;14;
13.07.2020;22;23;17;23;17;22;
14.07.2020;18;20;27;7;9;22;
15.07.2020;16;20;18;18;17;15;
16.07.2020;20;14;19;23;16;27;
17.07.2020;12;17;25;14;18;18;
18.07.2020;17;24;25;23;11;14;
19.07.2020;15;19;24;20;25;19;
20.07.2020;22;17;14;19;13;23;
21.07.2020;17;12;10;17;17;18;
22.07.2020;19;22;10;12;22;14;
23.07.2020;18;11;22;15;20;23;
24.07.2020;25;15;22;17;17;17;
25.07.2020;22;14;20;21;20;13;
26.07.2020;19;15;24;23;20;16;
27.07.2020;19;13;28;16;11;16;
28.07.2020;11;26;18;15;15;17;
29.07.2020;22;20;16;26;18;17;
30.07.2020;18;19;11;17;18;32;
31.07.2020;28;20;16;15;19;30;
01.08.2020;15;22;19;14;17;20;
02.08.2020;29;22;25;9;20;20;
03.08.2020;16;28;22;15;16;22;
04.08.2020;18;20;14;23;23;26;
05.08.2020;11;17;11;17;23;21;
06.08.2020;13;22;22;22;17;23;
07.08.2020;22;22;18;22;14;29;
08.08.2020;16;19;21;14;13;18;
09.08.2020;19;14;16;20;18;26;
10.08.2020;15;19;21;14;26;36;
11.08.2020;15;18;19;19;16;21;
12.08.2020;18;13;22;16;16;25;
13.08.2020;14;27;12;11;21;18;
14.08.2020;26;19;8;17;25;12;
15.08.2020;16;17;14;19;25;15;
16.08.2020;15;21;15;16;15;21;
17.08.2020;19;10;13;19;28;25;
18.08.2020;30;22;20;15;18;11;
19.08.2020;14;14;15;14;20;15;
20.08.2020;10;11;20;8;11;18;
21.08.2020;17;27;17;12;17;23;
22.08.2020;13;15;16;19;24;17;
23.08.2020;23;11;17;21;16;18;
24.08.2020;14;18;11;23;13;21;
25.08.2020;21;21;25;23;27;23;
26.08.2020;13;19;17;14;21;21;
27.08.2020;18;15;19;19;24;16;
28.08.2020;17;22;15;18;22;15;
29.08.2020;20;13;19;20;18;17;
30.08.2020;12;21;14;15;9;27;
31.08.2020;18;22;14;20;20;19;
01.09.2020;14;10;19;21;15;30;
02.09.2020;19;17;11;25;15;25;
03.09.2020;15;29;16;21;20;24;
04.09.2020;24;17;17;19;23;30;
05.09.2020;14;23;9;22;19;23;
06.09.2020;24;18;14;19;20;10;
07.09.2020;15;15;11;15;12;18;
08.09.2020;17;16;18;29;13;27;
09.09.2020;25;12;7;23;14;18;
10.09.2020;22;19;20;18;19;21;
11.09.2020;25;23;23;13;14;19;
12.09.2020;20;14;18;20;21;15;
13.09.2020;18;19;14;15;21;23;
14.09.2020;14;10;18;19;13;19;
15.09.2020;24;19;12;9;24;20;
16.09.2020;13;14;15;20;20;22;
17.09.2020;20;17;10;16;21;15;
18.09.2020;14;18;19;15;19;24;
19.09.2020;21;24;14;14;15;14;
20.09.2020;14;14;23;16;13;15;
21.09.2020;12;15;13;18;21;20;
22.09.2020;13;14;22;11;13;22;
23.09.2020;18;15;16;19;17;19;
24.09.2020;16;15;12;23;16;17;
25.09.2020;14;16;16;21;18;30;
26.09.2020;18;15;14;14;15;20;
27.09.2020;11;21;18;19;27;29;
28.09.2020;21;17;20;14;21;24;
29.09.2020;7;19;14;13;19;21;
30.09.2020;7;16;18;20;24;24;
01.10.2020;14;14;18;15;17;22;
02.10.2020;15;24;21;20;18;11;
03.10.2020;11;18;20;17;19;14;
04.10.2020;14;19;18;18;23;19;
05.10.2020;20;15;20;14;17;23;
06.10.2020;17;16;16;14;14;18;
07.10.2020;16;14;14;18;16;22;
08.10.2020;10;20;18;13;20;19;
09.10.2020;23;29;16;19;16;25;
10.10.2020;19;15;24;18;22;28;
11.10.2020;15;21;16;18;18;16;
12.10.2020;12;18;15;17;17;22;
13.10.2020;13;29;17;22;19;28;
14.10.2020;13;24;14;18;16;25;
15.10.2020;19;14;19;16;14;15;
16.10.2020;11;20;13;19;30;26;
17.10.2020;18;14;15;25;11;39;
18.10.2020;11;14;24;16;23;27;
19.10.2020;18;19;10;16;15;28;
20.10.2020;13;22;17;18;12;21;
21.10.2020;18;20;15;20;22;21;
22.10.2020;17;13;12;17;16;23;
23.10.2020;16;15;13;16;17;27;
24.10.2020;16;19;23;20;19;28;
25.10.2020;17;21;16;14;17;27;
26.10.2020;15;17;13;20;27;28;
27.10.2020;19;23;19;15;12;36;
28.10.2020;18;18;11;18;26;30;
29.10.2020;21;24;15;17;17;33;
30.10.2020;14;25;23;14;15;28;
31.10.2020;17;16;24;21;19;34;
01.11.2020;14;19;17;22;19;41;
02.11.2020;13;17;13;16;10;33;
03.11.2020;12;20;24;16;13;45;
04.11.2020;20;13;21;21;22;48;
05.11.2020;17;16;8;18;23;37;
