date;2015;2016;2017;2018;2019;2020;2021
29.06.2020;;;;7;8;3;
30.06.2020;;;;15;5;6;
01.07.2020;;;;1;6;7;
02.07.2020;;;;6;11;10;
03.07.2020;;;;8;14;10;
04.07.2020;;;;7;13;11;
05.07.2020;;;;13;11;4;
06.07.2020;;;;6;12;9;
07.07.2020;;;;11;10;12;
08.07.2020;;;;4;8;9;
09.07.2020;;;;9;9;8;
10.07.2020;;;;5;8;8;
11.07.2020;;;;5;5;5;
12.07.2020;;;;8;4;9;
13.07.2020;;;;12;6;10;
14.07.2020;;;;11;8;9;
15.07.2020;;;;5;7;9;
16.07.2020;;;;10;7;7;
17.07.2020;;;;7;9;14;
18.07.2020;;;;6;9;12;
19.07.2020;;;;16;5;7;
20.07.2020;;;;11;2;10;
21.07.2020;;;;7;8;10;
22.07.2020;;;;8;6;6;
23.07.2020;;;;11;4;9;
24.07.2020;;;;10;5;8;
25.07.2020;;;;7;8;9;
26.07.2020;;;;5;18;9;
27.07.2020;;;;4;3;10;
28.07.2020;;;;12;7;8;
29.07.2020;;;;6;10;11;
30.07.2020;;;;5;9;8;
31.07.2020;;;;8;6;15;
01.08.2020;;;;13;8;9;
02.08.2020;;;;9;4;6;
03.08.2020;;;;8;6;12;
04.08.2020;;;;6;14;15;
05.08.2020;;;;8;8;13;
06.08.2020;;;;6;11;9;
07.08.2020;;;;9;12;10;
08.08.2020;;;;14;8;15;
09.08.2020;;;;7;12;15;
10.08.2020;;;;6;9;12;
11.08.2020;;;;4;4;11;
12.08.2020;;;;7;5;8;
13.08.2020;;;;5;8;12;
14.08.2020;;;;8;9;10;
15.08.2020;;;;8;6;13;
16.08.2020;;;;9;6;11;
17.08.2020;;;;6;12;9;
18.08.2020;;;;6;5;22;
19.08.2020;;;;4;3;10;
20.08.2020;;;;11;8;17;
21.08.2020;;;;6;8;12;
22.08.2020;;;;11;12;17;
23.08.2020;;;;11;9;12;
24.08.2020;;;;9;13;17;
25.08.2020;;;;8;2;16;
26.08.2020;;;;8;5;11;
27.08.2020;;;;14;6;17;
28.08.2020;;;;4;2;15;
29.08.2020;;;;2;11;18;
30.08.2020;;;;12;8;18;
31.08.2020;;;;9;2;9;
01.09.2020;;;;6;9;11;
02.09.2020;;;;6;8;10;
03.09.2020;;;;13;10;18;
04.09.2020;;;;10;9;26;
05.09.2020;;;;6;7;19;
06.09.2020;;;;10;6;18;
07.09.2020;;;;9;11;17;
08.09.2020;;;;10;6;20;
09.09.2020;;;;8;4;16;
10.09.2020;;;;7;7;10;
11.09.2020;;;;7;13;14;
12.09.2020;;;;8;1;23;
13.09.2020;;;;11;5;16;
14.09.2020;;;;8;6;16;
15.09.2020;;;;7;11;20;
16.09.2020;;;;7;6;16;
17.09.2020;;;;;3;16;
18.09.2020;;;;6;11;14;
19.09.2020;;;;9;12;18;
20.09.2020;;;;9;10;24;
21.09.2020;;;;12;8;17;
22.09.2020;;;;6;9;14;
23.09.2020;;;;11;9;14;
24.09.2020;;;;8;6;17;
25.09.2020;;;;6;12;14;
26.09.2020;;;;6;6;14;
27.09.2020;;;;9;9;13;
28.09.2020;;;;5;7;24;
29.09.2020;;;;7;8;20;
30.09.2020;;;;7;5;19;
01.10.2020;;;;6;11;15;
02.10.2020;;;;7;8;14;
03.10.2020;;;;6;7;15;
04.10.2020;;;;6;4;11;
05.10.2020;;;;8;8;17;
06.10.2020;;;;5;9;13;
07.10.2020;;;;3;8;12;
08.10.2020;;;;4;4;14;
09.10.2020;;;;8;1;13;
10.10.2020;;;;5;8;18;
11.10.2020;;;;9;7;12;
12.10.2020;;;;5;3;11;
13.10.2020;;;;;7;14;
14.10.2020;;;;7;5;9;
15.10.2020;;;;5;12;15;
16.10.2020;;;;8;2;15;
17.10.2020;;;;9;6;12;
18.10.2020;;;;4;13;14;
19.10.2020;;;;6;5;8;
20.10.2020;;;;10;4;11;
