date;2015;2016;2017;2018;2019;2020;2021
02.06.2020;7;7;9;8;8;10;
03.06.2020;9;5;7;5;11;4;
04.06.2020;8;8;6;7;4;6;
05.06.2020;6;4;9;5;7;6;
06.06.2020;12;12;2;9;6;7;
07.06.2020;4;3;3;6;4;4;
08.06.2020;9;10;8;12;11;9;
09.06.2020;1;3;5;6;3;8;
10.06.2020;5;2;7;8;12;6;
11.06.2020;10;8;7;7;10;3;
12.06.2020;12;7;4;0;8;6;
13.06.2020;12;9;10;11;6;2;
14.06.2020;10;13;8;6;7;10;
15.06.2020;2;3;8;5;5;5;
16.06.2020;7;7;11;3;4;8;
17.06.2020;8;3;4;8;12;9;
18.06.2020;6;6;10;10;3;9;
19.06.2020;9;9;5;6;9;10;
20.06.2020;7;9;6;6;10;7;
21.06.2020;6;8;5;5;7;8;
22.06.2020;3;5;10;6;7;7;
23.06.2020;8;4;5;5;10;6;
24.06.2020;7;9;11;9;9;7;
25.06.2020;6;4;4;6;10;7;
26.06.2020;7;3;5;3;7;5;
27.06.2020;12;8;4;10;5;7;
28.06.2020;9;14;4;12;11;8;
29.06.2020;6;7;13;9;7;12;
30.06.2020;8;9;8;10;4;4;
01.07.2020;7;7;7;10;9;3;
02.07.2020;6;4;10;8;6;11;
03.07.2020;8;6;5;6;2;13;
04.07.2020;9;9;10;10;13;4;
05.07.2020;6;8;6;10;7;7;
06.07.2020;4;10;9;5;8;6;
07.07.2020;7;4;11;6;6;14;
08.07.2020;5;7;7;4;5;12;
09.07.2020;1;7;10;9;7;9;
10.07.2020;5;6;3;8;8;10;
11.07.2020;6;5;9;1;4;10;
12.07.2020;13;8;8;7;10;5;
13.07.2020;9;14;7;9;5;4;
14.07.2020;7;8;10;6;7;8;
15.07.2020;7;8;8;4;6;3;
16.07.2020;5;10;5;7;7;7;
17.07.2020;7;4;0;3;3;10;
18.07.2020;9;5;8;11;6;7;
19.07.2020;8;8;5;10;8;9;
20.07.2020;6;6;11;7;5;7;
21.07.2020;12;7;5;9;2;9;
22.07.2020;2;9;10;8;9;7;
23.07.2020;9;7;10;1;11;8;
24.07.2020;8;6;11;10;11;7;
25.07.2020;8;6;9;6;5;10;
26.07.2020;10;11;6;7;6;5;
27.07.2020;4;6;8;6;4;4;
28.07.2020;5;8;7;6;8;9;
29.07.2020;13;5;13;7;8;9;
30.07.2020;9;7;8;7;6;8;
31.07.2020;8;5;8;9;5;6;
01.08.2020;9;7;9;9;7;12;
02.08.2020;6;6;4;11;13;8;
03.08.2020;10;10;8;3;7;14;
04.08.2020;8;8;6;9;7;7;
05.08.2020;5;13;3;13;10;15;
06.08.2020;5;10;8;4;6;8;
07.08.2020;12;10;6;6;5;6;
08.08.2020;10;5;10;3;9;9;
09.08.2020;6;7;6;4;9;13;
10.08.2020;7;7;9;10;5;4;
11.08.2020;16;10;10;7;4;5;
12.08.2020;6;7;9;7;8;9;
13.08.2020;7;6;3;4;10;10;
14.08.2020;8;7;10;5;10;8;
15.08.2020;4;6;10;7;9;10;
16.08.2020;9;7;11;4;10;4;
17.08.2020;7;6;6;7;6;8;
18.08.2020;8;8;3;9;9;10;
19.08.2020;8;7;5;4;3;10;
20.08.2020;6;6;5;7;9;8;
21.08.2020;11;4;6;8;4;15;
22.08.2020;8;3;10;5;5;11;
23.08.2020;6;10;6;5;3;8;
24.08.2020;8;6;4;7;8;7;
